rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 
21	519.777	301.748	610.136	126.606	5216	90.3519	75.3754	0.551396	0.955311	297.179	744.78	279.162	0.374825	476.324	345.6554	255.948	-13.2592	82.6005	0.223129	370.191	8096	0.879045	412.25	504.296	679.411	635.274	0.475676	807.534	635.469	386.743	0.569234	1166	2807	182.469	99.3932	5	939.16	0.180054	54.8798	18.0196	33.0261	11.9356	526	73	233.2	192.95	92	94	85.7609	-9.04764	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	92	92	92	0	  Tumour 
22	560.658	963.416	271.36	382.786	11534	126.709	116.399	0.39512	0.986149	430.233	549.717	135.09	0.245744	110.069	-20.5996	160.056	-146.958	84.0271	0.306332	274.3	16498	0.932459	534.978	297.329	528.472	484.336	0.578732	626.788	479.999	311.039	0.588562	1561	5582	100.544	17.4679	8	1576.83	0.136711	88.6106	13.3796	46.3614	21.6349	365	69	173.444	93.117	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Tumour 
23	556.853	487.128	460.977	164.347	8259	116.965	91.4607	0.623343	0.945831	394.818	945.205	238.701	0.252538	615.427	484.7584	385.4	-123.128	68.1964	0.13649	499.644	9793	0.921087	436.434	542.511	629.016	584.879	0.668407	672.355	607.998	222.413	0.353589	1105	3947	160.929	77.8535	5	3686.78	0.446395	80.0872	15.6982	44.857	20.5836	506	69	221	187.294	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Tumour 
24	573.35	641.77	353.815	145.911	4760	115.861	53.1509	0.888567	0.962588	291.605	1217.93	461.913	0.379261	938.067	807.3984	214.568	27.2435	45.804	0.139302	328.812	11964	0.865451	533.404	245.345	350.503	306.366	0	0	350.185	270.159	0.770774	147	217	144.429	61.3526	2	842.65	0.177027	13.3413	13.3413	13.3413	0	78	69	73.5	6.36396	209	402	117.01	22.2011	2	680.226	0.142905	23.9027	23.9027	23.9027	0	105	104	104.5	0.707107	  Tumour 
25	595.148	200.293	550.305	126.606	4235	100.598	56.0983	0.830079	0.955766	275.622	1262.06	555.037	0.439787	780.606	649.9374	161.906	29.8608	35.4103	0.128229	276.149	8312	0.844887	455.948	169.303	249.153	205.016	0.140741	822.281	202.748	308.985	1.24014	126	135	126.302	43.2256	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	126	126	126	0	115	316	109.835	15.0263	2	245.579	0.057988	25.4326	25.4326	25.4326	0	87	28	57.5	41.7193	  DCIS 
26	589.229	371.27	576.767	171.105	8453	163.268	74.7268	0.889109	0.829295	445.706	763.747	241.849	0.316662	434.467	303.7984	321.241	32.9924	125.736	0.288726	435.484	11661	0.854975	545.22	426.278	650.396	606.259	0.929719	626.754	671.37	355.892	0.547193	349	1383	103.842	20.7665	3	3024.17	0.357763	74.8883	12.8283	50.3654	29.5281	190	69	116.333	64.6555	181	272	106.945	12.1362	2	2968.52	0.35118	14.3028	14.3028	14.3028	0	140	41	90.5	70.0036	  Tumour 
27	627.03	47.0464	573.928	276.539	5081	93.3585	69.6526	0.66586	0.97674	280.735	1173.09	405.219	0.345429	893.332	762.6634	158.814	68.9204	29.5773	0.108319	273.058	7199	0.983739	327.782	54.6645	50.6328	6.49608	0	0	0	10.5688	0.208735	138	280	128.275	45.1994	2	1024.3	0.201594	21.4709	21.4709	21.4709	0	69	69	69	0	152	241	109.77	14.9612	2	1354.93	0.266666	16.5444	16.5444	16.5444	0	94	58	76	25.4558	  DCIS 
28	669.597	462.775	548.931	109.202	7615	171.507	59.6531	0.937562	0.882183	468.943	960.255	313.756	0.326742	659.707	529.0384	247.445	12.5114	105.724	0.292307	361.689	10499	0.811486	540.919	415.634	500.734	456.597	0.453608	712.964	431.381	305.26	0.609625	1177	4148	134.321	51.2452	8	3169.37	0.416201	117.689	14.3689	49.357	26.9289	621	61	147.125	193.808	224	690	114.045	19.2361	2	1113.69	0.146249	40.9427	40.9427	40.9427	0	153	71	112	57.9828	  Tumour 
29	643.041	374.962	601.87	158.496	6373	164.208	52.9147	0.946657	0.892702	397.563	1026.38	303.867	0.296057	681.798	551.1294	379.455	25.3427	64.4874	0.130621	493.699	10855	0.922574	493.421	448.427	551.794	507.658	0.688053	528.36	578.987	294.527	0.533763	849	1697	163.42	80.3445	4	4126.26	0.647459	73.7052	19.9489	40.8417	19.6642	461	69	212.25	177.128	253	524	110.545	15.7369	3	745.186	0.116929	28.2175	11.2868	21.3538	7.96784	149	10	84.3333	70.0024	  Tumour 
30	682.801	853.918	378.477	243.249	10920	133.429	105.181	0.615297	0.981573	402.86	654.033	122.165	0.186787	374.453	243.7844	232.881	-196.361	91.9925	0.265013	347.125	14168	0.967363	476.534	297.922	456.016	411.88	0.537559	478	457.168	170.797	0.374541	2006	6584	130.169	47.093	7	2277.1	0.208525	96.1699	13.8949	51.3981	21.1439	589	76	250.75	175.144	129	1153	89.7442	-5.06432	2	465.47	0.0426255	102.491	102.491	102.491	0	65	64	64.5	0.707107	  Tumour 
