rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
22 	 113.966 	 2507.06 	 137.354 	 279.652 	 1603 	 50.7004 	 41.2298 	 0.581977 	 0.961031 	 159.196 	 1563.44 	 377.986 	 0.241766 	 769.457 	 1247.87 	 82.5824 	 -51.1553 	 25.1114 	 0.117394 	 213.906 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 44 	 45 	 136.364 	 18.3432 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 44 	 44 	 44 	 0 	 2083 	 0.961681 	 180.024 	 141.243 	 171.449 	 69.0604 	 0.326923 	 189.294 	 168.678 	 70.6132 	 0.411862 	  DCIS 
23 	 145.991 	 1004.21 	 150.659 	 386.766 	 6042 	 114.015 	 68.4227 	 0.799909 	 0.965176 	 320.794 	 1447.69 	 350.16 	 0.241875 	 661.845 	 1132.12 	 120.718 	 -34.6489 	 54.8628 	 0.217674 	 252.042 	 187 	 447 	 95.1551 	 0.832305 	 3 	 2733.05 	 0.452341 	 19.8736 	 15.1201 	 18.156 	 2.35841 	 97 	 30 	 62.3333 	 33.5609 	 530 	 1479 	 263.857 	 145.836 	 5 	 2606.28 	 0.43136 	 61.6117 	 12.439 	 31.0813 	 16.1177 	 350 	 19 	 106 	 137.634 	 7626 	 0.936625 	 383.078 	 809.401 	 1094.24 	 991.856 	 0 	 0 	 1067.3 	 431.924 	 0.394724 	  Tumour 
24 	 125.025 	 701.121 	 238.872 	 480.177 	 2833 	 68.1513 	 53.1331 	 0.626235 	 0.971203 	 205.966 	 1695.73 	 380.242 	 0.224235 	 942.457 	 1380.16 	 51.9597 	 8.09867 	 28.5124 	 0.155564 	 183.284 	 63 	 65 	 86.1429 	 -8.17992 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 63 	 63 	 63 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3771 	 0.95881 	 249.765 	 514.155 	 846.481 	 744.093 	 0.3 	 1179.71 	 770.039 	 566.637 	 0.669403 	  Tumour 
25 	 148.897 	 150.81 	 776.294 	 204.414 	 4944 	 112.474 	 57.1712 	 0.861178 	 0.95352 	 298.894 	 2332.73 	 555.933 	 0.238319 	 1268.15 	 2017.16 	 170.324 	 -67.7941 	 41.6927 	 0.138216 	 301.648 	 317 	 1185 	 119.003 	 24.6804 	 3 	 320.013 	 0.0647276 	 60.9163 	 21.5999 	 42.0163 	 17.622 	 184 	 56 	 105.667 	 68.6464 	 819 	 1552 	 378.983 	 260.962 	 3 	 411.802 	 0.0832933 	 41.8547 	 12.123 	 30.2097 	 14.2019 	 590 	 53 	 273 	 281.334 	 6519 	 0.889602 	 404.777 	 785.635 	 1220.59 	 1118.21 	 0.685552 	 1211.01 	 1212.72 	 412.718 	 0.338129 	  Tumour 
26 	 160.85 	 1691.97 	 702.979 	 434.885 	 4920 	 89.4939 	 70.8175 	 0.611414 	 0.968123 	 274.492 	 1687.44 	 367.123 	 0.217562 	 1078.29 	 1371.87 	 60.8044 	 -25.9527 	 15.2931 	 0.0795981 	 192.128 	 132 	 346 	 114.712 	 20.3893 	 2 	 143.652 	 0.0291975 	 26.9539 	 26.9539 	 26.9539 	 0 	 68 	 64 	 66 	 2.82843 	 143 	 585 	 214.287 	 96.2663 	 2 	 1307.16 	 0.265682 	 45.057 	 45.057 	 45.057 	 0 	 73 	 70 	 71.5 	 2.12132 	 5642 	 0.973262 	 288.108 	 103.045 	 112.928 	 10.5396 	 0 	 0 	 0 	 24.9686 	 0.221102 	  DCIS 
27 	 141.229 	 2638.6 	 269.208 	 191.755 	 1768 	 59.0082 	 39.0842 	 0.749193 	 0.938429 	 171.882 	 1245.64 	 238.087 	 0.191137 	 695.113 	 930.066 	 88.2065 	 -16.2486 	 24.7543 	 0.11276 	 219.531 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 2279 	 0.953956 	 190.125 	 229.903 	 299.751 	 197.363 	 0.230769 	 262.077 	 297.699 	 233.446 	 0.778798 	  DCIS 
28 	 152.849 	 2298.92 	 135.591 	 389.679 	 2227 	 78.555 	 36.4945 	 0.885535 	 0.951709 	 204.995 	 1434.73 	 407.868 	 0.284281 	 852.279 	 1119.16 	 67.7446 	 23.0375 	 28.9719 	 0.145537 	 199.069 	 65 	 67 	 108.169 	 13.8465 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 65 	 65 	 65 	 0 	 90 	 154 	 119.956 	 1.93512 	 2 	 640.51 	 0.287611 	 15.0333 	 15.0333 	 15.0333 	 0 	 45 	 45 	 45 	 0 	 2783 	 0.978896 	 215.882 	 158.246 	 151.622 	 49.2341 	 0 	 0 	 0 	 174.272 	 1.14938 	  DCIS 
29 	 161.408 	 1223.64 	 336.59 	 242.72 	 2027 	 57.604 	 46.7401 	 0.584485 	 0.92939 	 184.752 	 1606 	 427.227 	 0.26602 	 972.161 	 1290.42 	 118.034 	 14.4579 	 33.5265 	 0.134452 	 249.358 	 95 	 309 	 113.021 	 18.6983 	 2 	 385.528 	 0.190196 	 31.9236 	 31.9236 	 31.9236 	 0 	 58 	 37 	 47.5 	 14.8492 	 334 	 1148 	 178.503 	 60.4826 	 4 	 455.615 	 0.224773 	 39.5343 	 19.3455 	 26.7147 	 6.43203 	 146 	 33 	 83.5 	 59.1298 	 3088 	 0.924828 	 232.794 	 623.649 	 737.894 	 635.506 	 0.0353535 	 1020.43 	 722.681 	 316.854 	 0.429403 	  Tumour 
30 	 154.579 	 1892.98 	 504.267 	 634.136 	 764 	 39.4339 	 25.0589 	 0.77213 	 0.96343 	 110.326 	 1245.91 	 245.568 	 0.197099 	 733.925 	 930.341 	 15.5359 	 8.25621 	 12.2409 	 0.083351 	 146.86 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 1052 	 0.980429 	 123.497 	 74.2177 	 74.211 	 -28.1773 	 0 	 0 	 0 	 14.2602 	 0.192157 	  Other 
31 	 182.642 	 2983.8 	 612.83 	 272.355 	 3028 	 79.8861 	 49.021 	 0.789589 	 0.964024 	 225.966 	 1787.46 	 397.194 	 0.222211 	 775.772 	 1471.89 	 252.608 	 8.5116 	 25.9829 	 0.0676758 	 383.932 	 72 	 74 	 157.597 	 63.2744 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 72 	 72 	 72 	 0 	 105 	 346 	 181.295 	 63.2748 	 2 	 297.092 	 0.0981151 	 36.8439 	 36.8439 	 36.8439 	 0 	 60 	 45 	 52.5 	 10.6066 	 3671 	 0.970394 	 241.338 	 210.085 	 213.972 	 111.584 	 0 	 0 	 0 	 46.6587 	 0.21806 	  DCIS 
