rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
21 	 557.125 	 596.977 	 683.811 	 311.538 	 8891 	 189.675 	 66.073 	 0.937365 	 0.874582 	 492.357 	 1045.14 	 352.768 	 0.337533 	 745.658 	 920.273 	 408.15 	 62.6389 	 93.4916 	 0.183126 	 510.533 	 13824 	 0.815046 	 727.061 	 1019.44 	 1197.05 	 980.949 	 0.647676 	 1209.48 	 1185.07 	 452.377 	 0.377911 	 163 	 836 	 168.301 	 -38.7946 	 3 	 1074.79 	 0.120886 	 56.9228 	 29.5096 	 38.7349 	 14.0888 	 73 	 36 	 54.3333 	 18.5023 	 45 	 45 	 189.267 	 -112.6 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
22 	 520.558 	 376.418 	 530.456 	 160.125 	 5046 	 99.1282 	 65.2552 	 0.752764 	 0.974696 	 279.723 	 1979.21 	 408.553 	 0.206423 	 801.161 	 1854.34 	 651.711 	 -23.2869 	 57.0021 	 0.0755902 	 754.093 	 6442 	 0.932542 	 356.024 	 1361.79 	 1681.74 	 1465.64 	 0.656627 	 1753.86 	 1629.53 	 421.67 	 0.250735 	 178 	 1254 	 239.124 	 32.0284 	 5 	 1233.45 	 0.24444 	 49.0778 	 9.72353 	 28.247 	 11.4762 	 49 	 14 	 35.6 	 13.7586 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
23 	 543.085 	 470.005 	 595.799 	 256.531 	 6871 	 111.644 	 80.2777 	 0.694956 	 0.935849 	 335.563 	 2205.76 	 492.403 	 0.223235 	 946.673 	 2080.9 	 588.943 	 5.14508 	 50.5385 	 0.0731037 	 691.326 	 7837 	 0.90413 	 444.693 	 1595.8 	 1882.97 	 1666.87 	 0.891892 	 1845.87 	 1878.38 	 411.275 	 0.218419 	 324 	 2144 	 234.963 	 27.8677 	 7 	 1400.69 	 0.203855 	 67.3095 	 10.572 	 37.3779 	 17.469 	 73 	 32 	 46.2857 	 13.4129 	 75 	 416 	 291.907 	 -9.96 	 2 	 808.2 	 0.117625 	 52.1665 	 52.1665 	 52.1665 	 0 	 45 	 30 	 37.5 	 10.6066 	  Tumour 
24 	 564.331 	 701.596 	 761.956 	 215.188 	 8724 	 130.175 	 88.6628 	 0.732187 	 0.921128 	 389.789 	 1716.73 	 518.675 	 0.302129 	 830.423 	 1591.87 	 481.012 	 -10.3673 	 87.4454 	 0.149891 	 583.395 	 12437 	 0.890201 	 557.664 	 1003.67 	 1145.21 	 929.11 	 0.881553 	 1140.53 	 1142.67 	 271.87 	 0.237397 	 456 	 3092 	 204.34 	 -2.75533 	 10 	 1222.71 	 0.140155 	 81.2303 	 9.99967 	 43.0257 	 20.8107 	 77 	 29 	 45.6 	 13.7534 	 80 	 351 	 247.2 	 -54.6667 	 2 	 1660.85 	 0.190377 	 45.8623 	 45.8623 	 45.8623 	 0 	 48 	 32 	 40 	 11.3137 	  Tumour 
25 	 578.417 	 882.873 	 910.711 	 105.929 	 4208 	 90.1847 	 61.0105 	 0.736437 	 0.968692 	 260.936 	 985.943 	 407.583 	 0.413394 	 683.292 	 861.081 	 499.591 	 5.95082 	 50.2546 	 0.0834831 	 601.973 	 6052 	 0.976759 	 322.225 	 786.022 	 760.487 	 544.388 	 0 	 0 	 0 	 294.826 	 0.38768 	 50 	 51 	 200.2 	 -6.89524 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 50 	 50 	 50 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
26 	 596.629 	 375.084 	 599.464 	 156.083 	 3848 	 75.1801 	 66.9518 	 0.454881 	 0.955313 	 277.037 	 2443.81 	 528.581 	 0.216294 	 1092.31 	 2318.95 	 698.407 	 2.42863 	 39.7059 	 0.0495834 	 800.79 	 6596 	 0.859862 	 381.924 	 1267.32 	 1565.77 	 1349.67 	 0.656338 	 1735.92 	 1469.85 	 512.601 	 0.327379 	 154 	 723 	 237.604 	 30.5087 	 3 	 1328.58 	 0.345266 	 35.5 	 22.5606 	 28.8616 	 5.79256 	 67 	 42 	 51.3333 	 13.6504 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
27 	 627.778 	 621.044 	 753.558 	 267.899 	 6454 	 118.596 	 71.7794 	 0.79604 	 0.928366 	 346.777 	 1029.79 	 300.408 	 0.291719 	 524.061 	 904.925 	 561.27 	 -37.2654 	 87.3137 	 0.131565 	 663.652 	 12893 	 0.838406 	 621.948 	 981.295 	 1171.87 	 955.771 	 0.691769 	 1103.9 	 1209.05 	 277.351 	 0.236673 	 93 	 356 	 174.183 	 -32.9124 	 2 	 1695.44 	 0.262695 	 38.3459 	 38.3459 	 38.3459 	 0 	 53 	 40 	 46.5 	 9.19239 	 35 	 37 	 214.143 	 -87.7238 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 35 	 35 	 35 	 0 	  Tumour 
28 	 617.584 	 56.6199 	 581.847 	 202.608 	 3883 	 89.2087 	 55.9417 	 0.778948 	 0.978579 	 245.338 	 2089.98 	 451.523 	 0.216042 	 923.29 	 1965.12 	 666.293 	 12.948 	 123.654 	 0.160866 	 768.676 	 6161 	 0.900073 	 382.208 	 1021.71 	 1161.73 	 945.636 	 0.285303 	 1344.88 	 1128.56 	 317.551 	 0.273342 	 149 	 545 	 210.577 	 3.48194 	 3 	 514.604 	 0.132527 	 32.043 	 17.0468 	 24.3183 	 6.71567 	 51 	 49 	 49.6667 	 1.1547 	 97 	 192 	 269.814 	 -32.0522 	 2 	 1242.93 	 0.320096 	 15.45 	 15.45 	 15.45 	 0 	 52 	 45 	 48.5 	 4.94975 	  Tumour 
29 	 616.853 	 452.293 	 650.471 	 203.679 	 3880 	 86.2804 	 58.688 	 0.733026 	 0.946572 	 255.439 	 2475.17 	 387.857 	 0.156699 	 1068.99 	 2350.31 	 657.71 	 -1.35722 	 48.8257 	 0.0642365 	 760.093 	 5024 	 0.825501 	 357.296 	 1479.78 	 1734.24 	 1518.14 	 0.804154 	 1737.97 	 1734.97 	 466.356 	 0.268911 	 172 	 337 	 236.157 	 29.0617 	 4 	 1043.4 	 0.268918 	 30.2755 	 9.16974 	 16.8638 	 7.84579 	 49 	 39 	 43 	 4.89898 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
30 	 687.275 	 95.4557 	 646.016 	 181.334 	 8208 	 125.51 	 85.7568 	 0.730169 	 0.940745 	 377.848 	 1448.02 	 425.039 	 0.293532 	 444.655 	 1323.15 	 797.243 	 26.8687 	 170.986 	 0.190063 	 899.626 	 11916 	 0.890117 	 536.836 	 1063.68 	 1188.58 	 972.483 	 0.345455 	 1275.5 	 1161.92 	 306.752 	 0.258082 	 275 	 1385 	 207.815 	 0.719307 	 5 	 1097.76 	 0.133743 	 60.5462 	 13.4536 	 33.1723 	 13.2298 	 95 	 45 	 55 	 22.3607 	 45 	 45 	 240.622 	 -61.2444 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
