rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
21 	 458.773 	 223.832 	 645.408 	 65.2993 	 6317 	 108.002 	 76.2107 	 0.708568 	 0.955818 	 331.747 	 977.884 	 134.983 	 0.138035 	 402.946 	 618.681 	 9665 	 0.929327 	 452.919 	 898.893 	 1083.71 	 266.886 	 0.20524 	 1026.23 	 1081.16 	 334.896 	 0.309028 	 115 	 755 	 266.357 	 33.0371 	 3 	 447.761 	 0.0708819 	 64.1405 	 30.6757 	 43.1764 	 16.3387 	 45 	 25 	 38.3333 	 11.547 	 109.532 	 -8.51466 	 21.8626 	 0.113844 	 192.04 	 239 	 1284 	 91.0753 	 25.7548 	 3 	 1041.08 	 0.164806 	 71.9627 	 10.0382 	 48.0062 	 29.7443 	 141 	 45 	 79.6667 	 53.2666 	  Tumour 
22 	 488.067 	 699.116 	 406.214 	 98.4327 	 10619 	 123.872 	 109.973 	 0.46025 	 0.956753 	 419.304 	 1962.35 	 462.404 	 0.235637 	 1091.2 	 1603.15 	 15752 	 0.937675 	 558.09 	 1346.48 	 1754.18 	 937.36 	 0.419483 	 1682.91 	 1754.41 	 394.444 	 0.224859 	 225 	 2915 	 345.289 	 111.969 	 5 	 1199.55 	 0.112963 	 90.956 	 21.9317 	 51.8905 	 21.7539 	 45 	 45 	 45 	 0 	 164.655 	 4.29016 	 25.2809 	 0.102284 	 247.164 	 513 	 1956 	 111.651 	 46.3305 	 6 	 2960.55 	 0.278797 	 48.8604 	 11.9741 	 29.4462 	 11.1344 	 163 	 31 	 85.5 	 53.0801 	  Tumour 
23 	 495.591 	 853.042 	 535.987 	 72.4224 	 3398 	 73.1529 	 60.2704 	 0.566741 	 0.940493 	 236.551 	 1796.88 	 707.057 	 0.393491 	 1209.04 	 1437.68 	 4730 	 0.819331 	 350.392 	 1363.88 	 1498.4 	 681.579 	 0.586885 	 1598.52 	 1453.86 	 419.736 	 0.280123 	 45 	 45 	 382.667 	 149.347 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 99.6215 	 30.0246 	 39.4365 	 0.21653 	 182.13 	 109 	 113 	 132.743 	 67.4226 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 109 	 109 	 109 	 0 	  DCIS 
24 	 552.424 	 906.871 	 613.77 	 77.1038 	 6839 	 161.745 	 57.1415 	 0.935518 	 0.890611 	 410.09 	 1603.55 	 490.275 	 0.305745 	 1005.5 	 1244.34 	 11743 	 0.861555 	 545.806 	 1113.52 	 1427.45 	 610.632 	 0.326653 	 1431.94 	 1418.88 	 361.528 	 0.253268 	 90 	 368 	 416.689 	 183.369 	 2 	 2427.31 	 0.354922 	 40.3113 	 40.3113 	 40.3113 	 0 	 45 	 45 	 45 	 0 	 28.8952 	 -2.97684 	 28.0763 	 0.252023 	 111.403 	 339 	 3532 	 102.652 	 37.3314 	 7 	 2176.24 	 0.31821 	 103.962 	 10.3231 	 51.8156 	 26.331 	 93 	 29 	 48.4286 	 23.8737 	  Fib 
25 	 522.856 	 790.911 	 515.097 	 58 	 2562 	 75.3679 	 44.7665 	 0.804485 	 0.945387 	 209.581 	 1752.67 	 462.593 	 0.263936 	 691.556 	 1393.47 	 4149 	 0.915288 	 291.882 	 1594.9 	 1861.42 	 1044.6 	 0.709559 	 1996.82 	 1784.1 	 359.03 	 0.19288 	 45 	 45 	 348.711 	 115.392 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 150.534 	 4.00368 	 52.7865 	 0.22651 	 233.043 	 202 	 432 	 111.257 	 45.9369 	 3 	 571.741 	 0.223162 	 18.0081 	 16.2341 	 16.931 	 0.846294 	 98 	 51 	 67.3333 	 26.5769 	  DCIS 
26 	 565.016 	 830.587 	 486.786 	 58 	 5343 	 96.8943 	 71.961 	 0.669652 	 0.912086 	 311.806 	 1570 	 325.951 	 0.207612 	 898.699 	 1210.8 	 6604 	 0.898503 	 391.48 	 1566.21 	 1994.41 	 1177.59 	 0.975 	 1996.66 	 1945.31 	 390.049 	 0.195571 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 203.988 	 21.2752 	 44.3674 	 0.154862 	 286.497 	 175 	 1093 	 107.183 	 41.8623 	 3 	 1362.95 	 0.255091 	 61.033 	 12.5826 	 44.3619 	 24.6261 	 89 	 42 	 58.3333 	 26.5769 	  Tumour 
27 	 573.05 	 323.697 	 480.037 	 86.8389 	 2363 	 69.424 	 45.4322 	 0.756134 	 0.91874 	 213.765 	 1078 	 194.93 	 0.180827 	 477.417 	 718.793 	 3445 	 0.877931 	 299.137 	 1093.87 	 1172.23 	 355.404 	 0.330827 	 1205.41 	 1167.45 	 207.396 	 0.176925 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 104.637 	 4.16082 	 28.2987 	 0.151212 	 187.146 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
28 	 609.797 	 774.59 	 525.595 	 88.459 	 6241 	 116.187 	 77.0053 	 0.748825 	 0.84315 	 354.007 	 2571.65 	 718.905 	 0.27955 	 1635.8 	 2212.44 	 8873 	 0.858041 	 470.794 	 1624.91 	 2049.8 	 1232.98 	 0.458333 	 2074.35 	 2017.41 	 487.175 	 0.23767 	 38 	 39 	 329.684 	 96.3648 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 38 	 38 	 38 	 0 	 145.163 	 -38.3893 	 38.1842 	 0.167717 	 227.671 	 231 	 491 	 90.8312 	 25.5106 	 4 	 1477.47 	 0.236736 	 23.8124 	 11.7686 	 16.2922 	 4.87316 	 84 	 45 	 57.75 	 17.8955 	  Tumour 
29 	 591.371 	 390.57 	 481.212 	 128.445 	 2342 	 69.2911 	 43.8561 	 0.774212 	 0.938677 	 197.966 	 1181.02 	 277.041 	 0.234578 	 660.937 	 821.816 	 4375 	 0.9273 	 292.368 	 704.87 	 796.481 	 -20.3396 	 0.2 	 1139.13 	 759.36 	 243.959 	 0.306296 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 -0.43525 	 -1.31744 	 9.45884 	 0.115249 	 82.073 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
30 	 643.865 	 274.383 	 734.205 	 86.8389 	 3819 	 79.7623 	 63.043 	 0.612609 	 0.935342 	 248.35 	 1556.25 	 470.865 	 0.302565 	 1011.49 	 1197.04 	 8602 	 0.956203 	 388.492 	 984.727 	 1201.62 	 384.799 	 0.101449 	 1248.83 	 1192.64 	 263.376 	 0.219184 	 90 	 106 	 288.811 	 55.4917 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 90 	 90 	 90 	 0 	 65.4642 	 -32.4239 	 18.4828 	 0.124907 	 147.973 	 241 	 624 	 94.722 	 29.4014 	 2 	 449.487 	 0.117698 	 33.7128 	 33.7128 	 33.7128 	 0 	 136 	 105 	 120.5 	 21.9203 	  Tumour 
