rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
21 	 820.746 	 891.434 	 1127.59 	 499.309 	 1954 	 54.7819 	 45.5225 	 0.556306 	 0.975537 	 170.51 	 1033.23 	 474.266 	 0.459015 	 729.323 	 952.707 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 2461 	 0.98126 	 184.953 	 136.508 	 96.092 	 42.7009 	 0 	 0 	 0 	 14.4196 	 0.15006 	 41.5663 	 25.5885 	 15.2459 	 0.166581 	 91.5225 	 66 	 67 	 155.03 	 35.4314 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 66 	 66 	 66 	 0 	  DCIS 
22 	 896.615 	 455.379 	 920.387 	 545.257 	 2198 	 73.9092 	 38.4241 	 0.854238 	 0.958988 	 193.095 	 1040.26 	 340.922 	 0.327729 	 749.568 	 959.736 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 2553 	 0.946958 	 209.924 	 246.139 	 221.989 	 168.598 	 0.311475 	 213.211 	 225.812 	 60.3492 	 0.271856 	 81.4487 	 16.2457 	 17.8918 	 0.136158 	 131.405 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
23 	 896.204 	 284.373 	 857.817 	 590.526 	 2910 	 83.145 	 45.251 	 0.838928 	 0.955665 	 233.48 	 1230.38 	 426.299 	 0.346477 	 721.593 	 1149.86 	 38 	 39 	 348.5 	 -80.734 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 38 	 38 	 38 	 0 	 3533 	 0.951265 	 254.208 	 149.117 	 147.749 	 94.3578 	 0.150685 	 186.152 	 147.615 	 66.2865 	 0.448643 	 72.7681 	 30.0149 	 28.0601 	 0.228643 	 122.724 	 44 	 45 	 116.841 	 -2.75796 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 44 	 44 	 44 	 0 	  DCIS 
24 	 899.998 	 802.732 	 1120.61 	 545.809 	 1544 	 72.4531 	 27.9083 	 0.922837 	 0.929001 	 175.338 	 714.494 	 184.328 	 0.257984 	 421.97 	 633.974 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 2064 	 0.941176 	 193.338 	 178.95 	 165.331 	 111.94 	 0 	 0 	 163.657 	 76.2329 	 0.461092 	 45.4874 	 8.36224 	 15.0798 	 0.157997 	 95.4437 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
25 	 933.986 	 481.712 	 965.535 	 579.452 	 3354 	 77.2313 	 56.5356 	 0.681273 	 0.949604 	 234.836 	 1149.98 	 437.016 	 0.38002 	 821.272 	 1069.46 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 4056 	 0.947664 	 258.451 	 148.012 	 146.955 	 93.5639 	 0.261261 	 207.69 	 137.997 	 44.1387 	 0.300355 	 66.222 	 21.8492 	 21.0676 	 0.181338 	 116.178 	 58 	 60 	 140.655 	 21.0563 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 58 	 58 	 58 	 0 	  DCIS 
26 	 938.398 	 839.553 	 1173.61 	 591.761 	 3724 	 115.668 	 42.2252 	 0.930986 	 0.901913 	 289.037 	 1109.9 	 325.86 	 0.293594 	 792.557 	 1029.38 	 45 	 45 	 454.489 	 25.2548 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 4257 	 0.881184 	 307.622 	 122.679 	 119.037 	 65.6457 	 0.389706 	 140.538 	 114.773 	 31.2247 	 0.262311 	 42.2215 	 14.9687 	 13.3555 	 0.144888 	 92.1778 	 99 	 105 	 154.899 	 35.3001 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 99 	 99 	 99 	 0 	  DCIS 
27 	 943.818 	 276.815 	 902.282 	 637.385 	 2291 	 65.0805 	 49.91 	 0.64177 	 0.896322 	 226.066 	 1255.24 	 361.929 	 0.288334 	 525.15 	 1174.72 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3076 	 0.96095 	 220.066 	 185.121 	 191.656 	 138.265 	 0.169312 	 188.844 	 192.431 	 51.8117 	 0.270337 	 71.5558 	 3.13717 	 10.7122 	 0.0881572 	 121.512 	 55 	 56 	 144 	 24.4011 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 55 	 55 	 55 	 0 	  DCIS 
28 	 955.914 	 624.892 	 1055.94 	 590.661 	 1270 	 62.2137 	 26.3335 	 0.906001 	 0.962121 	 150.811 	 747.46 	 174.436 	 0.233372 	 472.852 	 666.94 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 1598 	 0.94 	 169.983 	 143.002 	 132.49 	 79.0991 	 0.228758 	 117.514 	 133.812 	 67.8182 	 0.511873 	 54.3973 	 17.6099 	 17.6695 	 0.169323 	 104.354 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
29 	 983.469 	 781.98 	 1170.06 	 623.238 	 2375 	 67.8183 	 46.2484 	 0.731403 	 0.932836 	 200.953 	 1730.89 	 678.514 	 0.392004 	 1345.05 	 1650.37 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 2640 	 0.90535 	 216.024 	 123.204 	 119.203 	 65.812 	 0.708333 	 125.971 	 115.931 	 32.6547 	 0.273942 	 38.7911 	 16.6208 	 11.2908 	 0.127224 	 88.7474 	 90 	 126 	 137.333 	 17.7345 	 2 	 701.932 	 0.29555 	 11.0454 	 11.0454 	 11.0454 	 0 	 45 	 45 	 45 	 0 	  DCIS 
30 	 982.042 	 731.018 	 1138 	 616.032 	 2801 	 68.2176 	 53.3609 	 0.623007 	 0.963205 	 212.853 	 1477.55 	 727.792 	 0.492567 	 1080.25 	 1397.03 	 77 	 231 	 415.091 	 -14.1431 	 2 	 400.424 	 0.142957 	 26.887 	 26.887 	 26.887 	 0 	 45 	 32 	 38.5 	 9.19239 	 3394 	 0.959028 	 228.368 	 97.5678 	 88.3058 	 34.9147 	 0.378641 	 99.3333 	 86.0419 	 14.5209 	 0.164439 	 26.1598 	 10.5925 	 8.81523 	 0.115813 	 76.116 	 72 	 73 	 156.153 	 36.5539 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 72 	 72 	 72 	 0 	  DCIS 
