rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
21 	 252.356 	 1139.2 	 1023.34 	 278.227 	 10346 	 126.186 	 109.901 	 0.491378 	 0.959473 	 409.848 	 1640.9 	 537.832 	 0.327767 	 1287.05 	 1541.06 	 105 	 369 	 1357.74 	 1094.07 	 2 	 3380.24 	 0.326719 	 36.3145 	 36.3145 	 36.3145 	 0 	 60 	 45 	 52.5 	 10.6066 	 184 	 3223 	 158.516 	 20.9301 	 4 	 2251.59 	 0.217629 	 108.35 	 18.1704 	 65.6163 	 29.0067 	 71 	 11 	 46 	 29.5635 	 263.143 	 -38.1188 	 54.2191 	 0.170412 	 318.165 	 12025 	 0.872768 	 522.936 	 243.39 	 325.027 	 269.271 	 0.506198 	 270.461 	 350.396 	 155.393 	 0.478094 	  Tumour 
22 	 219.496 	 1743.29 	 159.389 	 49.4065 	 2462 	 77.72 	 41.4739 	 0.845717 	 0.93187 	 212.409 	 959.319 	 279.622 	 0.29148 	 631.455 	 859.483 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 160.516 	 60.6897 	 45.3927 	 0.210602 	 215.538 	 3682 	 0.955619 	 256.711 	 148.198 	 129.102 	 73.3461 	 0.330508 	 149.474 	 125.735 	 40.6039 	 0.314511 	  Other 
23 	 272.003 	 312.96 	 284.707 	 123.471 	 9063 	 131.191 	 92.1984 	 0.711407 	 0.935005 	 403.588 	 2216.57 	 775.654 	 0.349935 	 1495.08 	 2116.73 	 194 	 689 	 1412.8 	 1149.13 	 2 	 1615.81 	 0.178286 	 50.9427 	 50.9427 	 50.9427 	 0 	 98 	 96 	 97 	 1.41421 	 138 	 315 	 236.529 	 98.9428 	 2 	 2855.9 	 0.315117 	 24.2729 	 24.2729 	 24.2729 	 0 	 71 	 67 	 69 	 2.82843 	 521.315 	 95.3481 	 103.607 	 0.179768 	 576.337 	 13029 	 0.880754 	 574.777 	 352.531 	 392.092 	 336.336 	 0.573614 	 376.203 	 402.754 	 206.195 	 0.525884 	  Tumour 
24 	 253.868 	 1232.59 	 1115.99 	 188.558 	 6706 	 106.289 	 82.3633 	 0.632087 	 0.964337 	 334.309 	 1644.9 	 517.654 	 0.314703 	 945.185 	 1545.06 	 179 	 448 	 410.263 	 146.591 	 2 	 1678.73 	 0.250332 	 29.6177 	 29.6177 	 29.6177 	 0 	 94 	 85 	 89.5 	 6.36396 	 180 	 248 	 189.839 	 52.2527 	 2 	 903.285 	 0.134698 	 15.9789 	 15.9789 	 15.9789 	 0 	 117 	 63 	 90 	 38.1838 	 250.689 	 -74.2506 	 72.3296 	 0.236595 	 305.711 	 11677 	 0.900447 	 521.279 	 241.692 	 358.82 	 303.065 	 0.696281 	 410.231 	 324.711 	 225.71 	 0.629035 	  Tumour 
25 	 258.703 	 1612.89 	 1491.85 	 96.8969 	 5506 	 109.715 	 64.5514 	 0.808602 	 0.977454 	 295.12 	 1416.9 	 418.445 	 0.295324 	 628.97 	 1317.07 	 73 	 76 	 1045.38 	 781.712 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 73 	 73 	 73 	 0 	 205 	 850 	 182.863 	 45.2772 	 3 	 243.811 	 0.044281 	 47.4848 	 16.038 	 34.2364 	 14.5767 	 70 	 67 	 68.3333 	 1.52753 	 173.569 	 8.6613 	 34.1076 	 0.149208 	 228.591 	 7611 	 0.937893 	 385.924 	 133.334 	 136.265 	 80.509 	 0.206128 	 189.068 	 130.517 	 46.8204 	 0.343599 	  Tumour 
26 	 258.881 	 616.942 	 524.844 	 93.2309 	 4286 	 97.5277 	 58.6734 	 0.798792 	 0.921522 	 285.179 	 911.071 	 169.665 	 0.186226 	 590.823 	 811.236 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 355.753 	 112.286 	 83.7512 	 0.203886 	 410.775 	 6720 	 0.842633 	 445.522 	 169.248 	 195.73 	 139.974 	 0.594595 	 214.227 	 189.63 	 65.6941 	 0.335637 	  Tumour 
27 	 259.258 	 1713.91 	 1591.91 	 49.4065 	 3646 	 94.2386 	 51.6266 	 0.836591 	 0.887321 	 273.765 	 1185.1 	 370.651 	 0.31276 	 800.292 	 1085.26 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 73 	 74 	 176.603 	 39.0165 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 73 	 73 	 73 	 0 	 172.603 	 27.1708 	 42.0145 	 0.184577 	 227.625 	 4202 	 0.824407 	 321.421 	 211.842 	 240.236 	 184.48 	 0.828571 	 255.207 	 232.299 	 136.981 	 0.570194 	  Tumour 
28 	 297.396 	 113.711 	 248.974 	 77.2334 	 5555 	 99.2466 	 72.3233 	 0.684809 	 0.949573 	 303.321 	 1895.96 	 884.941 	 0.466751 	 1326.05 	 1796.12 	 61 	 62 	 1490.62 	 1226.95 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 61 	 61 	 61 	 0 	 224 	 1224 	 207.429 	 69.8424 	 4 	 672.464 	 0.121056 	 62.7193 	 11.5924 	 35.7386 	 16.1397 	 77 	 34 	 56 	 22.6421 	 593.822 	 164.17 	 97.878 	 0.15085 	 648.844 	 8106 	 0.830278 	 481.037 	 396.045 	 425.692 	 369.937 	 0.521348 	 442.922 	 411.141 	 169.909 	 0.399136 	  Tumour 
29 	 310.222 	 675.891 	 599.767 	 100.499 	 8865 	 116.583 	 102.926 	 0.469639 	 0.942985 	 398.635 	 1440.67 	 334.074 	 0.231888 	 780.706 	 1340.84 	 216 	 368 	 1385.93 	 1122.26 	 2 	 2855.84 	 0.322148 	 18.6591 	 18.6591 	 18.6591 	 0 	 145 	 71 	 108 	 52.3259 	 261 	 521 	 210.943 	 73.3563 	 3 	 2858.87 	 0.322489 	 27.3356 	 12.0207 	 19.7852 	 6.85102 	 88 	 86 	 87 	 1 	 326.268 	 -20.2515 	 44.9714 	 0.117945 	 381.29 	 12357 	 0.897973 	 570.007 	 200.419 	 287.117 	 231.362 	 0.756144 	 294.322 	 275.615 	 116.381 	 0.405343 	  Tumour 
30 	 291.152 	 191.303 	 1643.6 	 77.2334 	 2197 	 59.0527 	 47.553 	 0.592916 	 0.977313 	 178.995 	 1046.83 	 371.839 	 0.355204 	 682.416 	 946.996 	 56 	 57 	 951.339 	 687.668 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 56 	 56 	 56 	 0 	 191 	 509 	 262.984 	 125.398 	 2 	 579.236 	 0.263649 	 30.7112 	 30.7112 	 30.7112 	 0 	 126 	 65 	 95.5 	 43.1335 	 375.403 	 -4.45628 	 71.5127 	 0.166144 	 430.425 	 3968 	 0.897738 	 292.953 	 337.5 	 402.539 	 346.783 	 0.302583 	 374.402 	 406.4 	 238.14 	 0.591596 	  Other 
