rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 
21	382.168	717.215	572.242	759.732	10377	121.452	110.723	0.410943	0.94603	415.061	993.322	216.218	0.217671	525.764	780.194	657.627	10.019	69.2087	0.0949059	729.235	15556	0.903001	582.777	680.232	878.637	828.807	0.736347	853.026	894.498	243.93	0.277624	288	4064	120.08	41.9246	4	1172.55	0.112995	84.4141	11.2287	64.1362	25.2012	99	45	72	28.4371	67	68	162.925	55.5851	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	67	67	67	0	  Tumour 
22	418.988	78.9169	380.865	872.093	10036	142.509	93.1376	0.756879	0.925062	426.274	1039.95	275.491	0.264909	560.867	826.819	768.424	71.6185	191.563	0.228043	840.031	14088	0.887881	548.894	611.206	985.803	935.973	0.761079	935.61	969.436	471.393	0.478182	1301	4327	120.629	42.4735	12	1336.13	0.133134	121.586	9.7149	47.7064	25.7498	288	41	108.417	81.5224	216	1339	149.676	42.3357	3	1198.79	0.119448	68.992	32.8951	48.459	16.5956	75	66	72	5.19615	  Tumour 
23	423.232	359.854	372.259	741.637	9773	128.442	98.3803	0.642898	0.960586	398.676	1392.42	342.192	0.245754	848.159	1179.29	777.535	179.386	116.907	0.137677	849.143	9819	0.8453	522.492	661.029	857.557	807.727	0.968685	844.144	850.127	298.187	0.347716	1221	6162	132.385	54.2297	18	1729.95	0.177013	99.3248	10.5425	45.3933	20.6079	192	19	67.8333	41.9204	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Tumour 
24	467.492	603.211	539.179	663.272	13641	164.352	106.175	0.763318	0.97638	467.688	1055.05	299.527	0.283899	679.924	841.923	688.615	60.9891	115.723	0.152222	760.222	22214	0.902898	776.902	669.084	1007.92	958.089	0.697443	981.894	1005.59	293.407	0.291102	998	7288	105.075	26.9199	16	2840.1	0.208203	128.123	12.2646	52.3337	24.8754	123	29	62.375	29.5316	117	230	154.179	46.8392	2	4382.06	0.321242	19.6192	19.6192	19.6192	0	60	57	58.5	2.12132	  Tumour 
25	490.856	180.708	422.594	755.467	11130	136.919	103.729	0.652721	0.982348	408.86	1299.62	416.498	0.320477	872.795	1086.49	813.823	77.6424	120.138	0.135683	885.43	18863	0.896999	647.546	740.384	1105.9	1056.07	0.826307	1156.72	1066.34	333.029	0.301139	1088	4358	117.303	39.1481	12	1692.51	0.152068	104.056	11.3232	45.8339	23.3573	265	44	90.6667	57.8184	95	354	132.653	25.3124	2	1102.55	0.0990614	37.9334	37.9334	37.9334	0	54	41	47.5	9.19239	  Tumour 
26	513.256	406.909	472.993	641.886	11822	141.962	109.213	0.638879	0.963331	439.446	1230.25	385.113	0.313036	858.442	1017.12	749.953	210.479	182.248	0.221832	821.56	15842	0.896903	584.818	602.489	752.586	702.756	0.591255	871.894	697.972	304.419	0.404498	1092	4884	127.772	49.6167	14	3246.38	0.274605	95.2385	8.32793	46.3048	24.5085	263	3	78	68.5408	183	1122	140.541	33.2007	3	1734.38	0.146708	42.7256	27.2609	36.9355	7.54221	65	54	61	6.08276	  Tumour 
27	536.736	46.5821	501.942	800.011	10517	134.42	102.361	0.648165	0.983265	409.321	1030.35	271.375	0.263381	645.732	817.224	630.277	74.2622	116.656	0.166204	701.884	18096	0.903986	657.38	600.604	964.083	914.253	0.473515	1215.94	926.412	449.983	0.466747	1110	5457	103.01	24.8547	10	1653.25	0.157198	82.7563	12.0449	46.8063	19.5593	385	35	111	105.154	129	569	129.194	21.8535	2	2213.63	0.210481	54.3711	54.3711	54.3711	0	66	63	64.5	2.12132	  Tumour 
28	575.25	702.425	685.686	567.405	10138	133.434	103.073	0.635054	0.910136	437.262	885.667	244.232	0.27576	552.64	672.539	554.659	105.245	85.6765	0.136805	626.266	13243	0.827016	654.877	614.231	708.226	658.396	0.625413	799.873	662.13	272.805	0.385195	834	3836	104.079	25.9239	13	2517.79	0.248352	85.2018	10.8165	37.4619	18.2795	173	30	64.1538	38.1856	249	1538	143.41	36.0694	4	1383.22	0.136439	57.673	24.7485	38.3267	13.446	73	58	62.25	7.18215	  Tumour 
29	574.639	919.168	848.232	648.267	13964	144.147	126.693	0.476979	0.978008	468.517	965.402	312.434	0.323631	574.575	752.274	565.178	118.538	179.166	0.28136	636.785	17627	0.940006	588.593	621.615	570.568	520.738	0.14781	676.506	561.399	248.146	0.434911	1104	6061	107.708	29.5531	14	3054.76	0.21876	107.743	9.84886	46.7411	22.249	200	45	73.6	57.8407	135	498	137.052	29.7116	2	2525.9	0.180887	44.8512	44.8512	44.8512	0	70	65	67.5	3.53553	  Tumour 
30	584.212	799.652	761.735	587.173	10396	130.756	101.816	0.627428	0.969324	402.818	1274.97	402.472	0.315671	795.906	1061.84	589.415	51.3571	68.3167	0.10335	661.022	12706	0.868727	585.078	516.066	756.644	706.814	0.629151	741.493	747.663	338.187	0.446956	1293	5311	116.249	38.0938	12	1489.55	0.143281	98.2926	11.3137	48.0237	23.3167	297	29	99.4615	72.9413	67	70	156.537	49.1971	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	67	67	67	0	  Tumour 
