rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
21 	 536.293 	 903.048 	 549.532 	 154.324 	 14584 	 186.111 	 101.185 	 0.839293 	 0.97285 	 501.161 	 1782.52 	 480.812 	 0.269737 	 974.88 	 1734.05 	 675.287 	 131.064 	 202.797 	 0.272441 	 744.372 	 22584 	 0.904337 	 665.855 	 496.817 	 533.629 	 469.355 	 0.570928 	 709.426 	 463.849 	 297.807 	 0.558079 	 1992 	 8707 	 134.121 	 71.727 	 16 	 2570.78 	 0.176274 	 137.173 	 10.8044 	 57.8581 	 28.9611 	 277 	 46 	 124.5 	 79.666 	 311 	 3174 	 133.232 	 46.6204 	 4 	 4023.3 	 0.275871 	 79.7272 	 39.1756 	 55.6139 	 14.6228 	 98 	 54 	 77.75 	 18.3007 	  Tumour 
22 	 513.103 	 250.157 	 566.612 	 66.8506 	 2929 	 75.0513 	 50.1367 	 0.744132 	 0.973737 	 212.995 	 478.374 	 111.472 	 0.233022 	 298.056 	 429.9 	 95.0857 	 -9.69375 	 22.5274 	 0.13722 	 164.17 	 10178 	 0.939363 	 451.889 	 272.154 	 444.795 	 380.521 	 0.409207 	 666.556 	 370.971 	 341.68 	 0.768173 	 262 	 288 	 123.023 	 60.6284 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 262 	 262 	 262 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
23 	 550.6 	 780.166 	 508.343 	 203.298 	 9220 	 126.492 	 93.6411 	 0.672284 	 0.973395 	 377.765 	 1922.34 	 356.077 	 0.185231 	 572.154 	 1873.87 	 757.66 	 -61.1265 	 75.8645 	 0.0917629 	 826.745 	 14769 	 0.827812 	 559.546 	 802.586 	 1131.41 	 1067.14 	 0.899396 	 1178.84 	 1084.35 	 595.597 	 0.52642 	 830 	 4009 	 133.624 	 71.2296 	 9 	 1660.78 	 0.180128 	 88.9753 	 9.95001 	 44.8115 	 20.2548 	 191 	 40 	 92.2222 	 47.3069 	 377 	 2680 	 194.544 	 107.933 	 4 	 1401.33 	 0.151988 	 74.8604 	 31.5587 	 51.4835 	 16.8069 	 114 	 69 	 94.25 	 18.9275 	  Tumour 
24 	 557.191 	 496.251 	 496.565 	 308.585 	 10543 	 131.64 	 104.996 	 0.603195 	 0.944037 	 423.889 	 1317.9 	 387.831 	 0.29428 	 834.324 	 1269.42 	 657.582 	 99.9137 	 165.625 	 0.227924 	 726.667 	 16745 	 0.909659 	 572.24 	 909.501 	 1046.04 	 981.771 	 0.70339 	 1063.14 	 1036.53 	 529.263 	 0.505966 	 1016 	 4180 	 114.485 	 52.0907 	 11 	 2378.38 	 0.225588 	 78.3233 	 12.9415 	 40.5815 	 18.1738 	 217 	 40 	 92.3636 	 57.613 	 241 	 1765 	 126.793 	 40.1814 	 3 	 788.542 	 0.074793 	 55.6824 	 36.9159 	 48.146 	 8.86686 	 94 	 61 	 80.3333 	 17.2143 	  Tumour 
25 	 538.476 	 188.495 	 494.144 	 66.8506 	 1302 	 75.1682 	 23.2544 	 0.950943 	 0.881517 	 197.581 	 479.05 	 161.742 	 0.337631 	 283.853 	 430.577 	 170.842 	 -3.45993 	 26.7009 	 0.111288 	 239.927 	 2584 	 0.933863 	 218.953 	 250.239 	 318.624 	 254.35 	 0.461929 	 414.341 	 280.426 	 205.79 	 0.645869 	 72 	 72 	 76.0694 	 13.6749 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 72 	 72 	 72 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
26 	 580.38 	 673.872 	 511.408 	 295.237 	 10111 	 120.703 	 108.409 	 0.439696 	 0.986728 	 381.848 	 1631.23 	 449.846 	 0.275771 	 913.645 	 1582.76 	 811.911 	 74.0733 	 120.357 	 0.136615 	 880.996 	 14449 	 0.945987 	 508.458 	 978.202 	 1445.29 	 1381.01 	 0.658933 	 1688.01 	 1299.89 	 698.707 	 0.483439 	 986 	 3237 	 134.076 	 71.6816 	 6 	 1897.4 	 0.187657 	 82.8011 	 14.9342 	 42.0814 	 20.9295 	 261 	 38 	 140.857 	 76.3248 	 416 	 1784 	 175.589 	 88.9778 	 3 	 3865.1 	 0.382267 	 56.7369 	 34.9744 	 42.9772 	 10.7054 	 188 	 93 	 138.667 	 47.606 	  Tumour 
27 	 662.921 	 850.984 	 638.464 	 284.121 	 8844 	 181.668 	 67.7727 	 0.927808 	 0.888666 	 449.806 	 2328.36 	 468.27 	 0.201116 	 922.289 	 2279.89 	 851.555 	 52.5826 	 144.653 	 0.157123 	 920.639 	 12485 	 0.854727 	 541.161 	 822.099 	 957.481 	 893.207 	 0.510331 	 894.158 	 978.564 	 338.569 	 0.353603 	 962 	 3404 	 166.765 	 104.371 	 7 	 969.97 	 0.109675 	 126.476 	 18.1055 	 54.2142 	 31.5451 	 294 	 60 	 137.429 	 94.5125 	 541 	 3390 	 201.453 	 114.842 	 7 	 1312.09 	 0.148359 	 134.585 	 12.333 	 60.454 	 34.7567 	 103 	 55 	 77.2857 	 19.6105 	  Tumour 
28 	 636.22 	 461.203 	 581.623 	 290.057 	 7040 	 104.158 	 89.8487 	 0.505853 	 0.968363 	 342.978 	 1519.06 	 431.532 	 0.284077 	 761.635 	 1470.59 	 630.849 	 124.876 	 112.3 	 0.160444 	 699.934 	 9255 	 0.92587 	 411.103 	 684.273 	 907.424 	 843.15 	 0.991279 	 915.147 	 890.925 	 443.226 	 0.488444 	 793 	 3653 	 112.904 	 50.5097 	 4 	 2825.88 	 0.401403 	 70.0011 	 23.0608 	 43.8651 	 16.6567 	 338 	 46 	 158.6 	 108.944 	 174 	 189 	 154.54 	 67.9291 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 174 	 174 	 174 	 0 	  Tumour 
29 	 652.103 	 368.52 	 626.007 	 213.909 	 7796 	 102.991 	 97.9373 	 0.309407 	 0.96354 	 349.966 	 810.079 	 236.044 	 0.291384 	 521.625 	 761.605 	 237.824 	 34.3383 	 68.3085 	 0.222569 	 306.909 	 13982 	 0.847137 	 535.487 	 523.218 	 697.324 	 633.05 	 0.779698 	 777.925 	 645.085 	 520.083 	 0.745827 	 349 	 1602 	 97.063 	 34.6685 	 3 	 1593.17 	 0.204358 	 54.4178 	 29.1683 	 42.638 	 11.3675 	 182 	 62 	 116.333 	 60.7975 	 291 	 826 	 161.729 	 75.1174 	 2 	 484.876 	 0.0621955 	 41.1568 	 41.1568 	 41.1568 	 0 	 200 	 91 	 145.5 	 77.0746 	  Tumour 
30 	 693.171 	 763.253 	 639.325 	 337.077 	 18208 	 173.119 	 138.038 	 0.603503 	 0.915435 	 571.203 	 1779 	 420.406 	 0.236316 	 887.015 	 1730.53 	 940.274 	 80.7854 	 136.733 	 0.135465 	 1009.36 	 21737 	 0.914126 	 636.316 	 922.702 	 1217.23 	 1152.96 	 0.829485 	 1251.84 	 1157.56 	 649.19 	 0.533332 	 1512 	 13656 	 211.996 	 149.602 	 11 	 4842.79 	 0.26597 	 140.922 	 18.1283 	 79.3963 	 33.7411 	 424 	 18 	 137.455 	 117.385 	 418 	 7624 	 198.407 	 111.796 	 5 	 3197.92 	 0.175632 	 110.506 	 38.2269 	 78.3376 	 24.0175 	 124 	 51 	 83.6 	 33.3587 	  Tumour 
