rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
11 	 546.644 	 314.082 	 295.706 	 404.377 	 4845 	 88.9908 	 70.2394 	 0.614022 	 0.980571 	 267.622 	 1812.31 	 561.598 	 0.309879 	 1127.89 	 1695.32 	 135 	 610 	 1772.56 	 1293.7 	 3 	 813.001 	 0.167802 	 61.3922 	 19.3132 	 41.0439 	 18.8487 	 45 	 45 	 45 	 0 	 536 	 1558 	 721.332 	 286.918 	 4 	 2015.17 	 0.415928 	 44.7866 	 14.5344 	 33.5676 	 12.4091 	 342 	 54 	 134 	 139.411 	  Tumour 
12 	 554.891 	 817.49 	 452.611 	 805.183 	 4744 	 85.8372 	 70.7527 	 0.566202 	 0.971733 	 269.563 	 581.406 	 88.4349 	 0.152105 	 297.92 	 464.407 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
13 	 598.493 	 755.002 	 434.221 	 770.276 	 9500 	 155.398 	 78.1927 	 0.864184 	 0.971768 	 409.831 	 810.029 	 236.005 	 0.291353 	 557.29 	 693.03 	 90 	 854 	 1400.76 	 921.891 	 2 	 771.767 	 0.0812387 	 100.648 	 100.648 	 100.648 	 0 	 45 	 45 	 45 	 0 	 776 	 3311 	 324.563 	 -109.851 	 11 	 2184.74 	 0.229972 	 92.2098 	 9.53603 	 39.9104 	 21.1836 	 116 	 30 	 70.5455 	 24.5738 	  Tumour 
14 	 696.421 	 240.739 	 461.567 	 508.261 	 10264 	 131.906 	 100.161 	 0.650699 	 0.957641 	 418.032 	 988.216 	 347.495 	 0.351639 	 655.138 	 871.217 	 90 	 107 	 2657.49 	 2178.62 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 90 	 90 	 90 	 0 	 166 	 846 	 333.12 	 -101.294 	 3 	 2950.85 	 0.287495 	 78.6674 	 14.7487 	 52.4611 	 29.9425 	 67 	 43 	 55.3333 	 12.0139 	  Tumour 
15 	 685.694 	 884.824 	 588.748 	 926.953 	 9070 	 121.816 	 95.6982 	 0.618737 	 0.97328 	 379.161 	 853.476 	 286.976 	 0.336244 	 580.565 	 736.477 	 135 	 1751 	 1384.5 	 905.639 	 3 	 1737.24 	 0.191537 	 59.6825 	 44.7772 	 51.4899 	 6.76369 	 45 	 45 	 45 	 0 	 900 	 4353 	 330.88 	 -103.534 	 10 	 3332.11 	 0.367377 	 92.1743 	 8.32306 	 46.4158 	 24.2301 	 249 	 33 	 90 	 70.0286 	  Tumour 
16 	 739.365 	 825.585 	 586.803 	 906.616 	 5221 	 99.2257 	 68.5672 	 0.722833 	 0.965779 	 294.936 	 594.863 	 138.814 	 0.233355 	 352.151 	 477.865 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
17 	 828.435 	 243.961 	 580.9 	 636.171 	 9486 	 136.917 	 92.9864 	 0.734007 	 0.926367 	 407.304 	 864.325 	 229.013 	 0.264962 	 476.528 	 747.327 	 176 	 1435 	 1746.54 	 1267.67 	 4 	 3685.55 	 0.388526 	 91.2207 	 18.868 	 49.5352 	 23.9232 	 45 	 41 	 44 	 2 	 695 	 1904 	 326.643 	 -107.771 	 6 	 4866.38 	 0.513007 	 64.5863 	 10.4434 	 32.5515 	 16.1677 	 248 	 51 	 115.833 	 80.75 	  Tumour 
18 	 850.823 	 884.886 	 711.231 	 1021.38 	 6962 	 115.611 	 76.9092 	 0.746626 	 0.984724 	 324.434 	 627.965 	 132.127 	 0.210405 	 389.507 	 510.967 	 90 	 429 	 1594.94 	 1116.08 	 2 	 1530.5 	 0.219837 	 49.4773 	 49.4773 	 49.4773 	 0 	 45 	 45 	 45 	 0 	 591 	 1798 	 281.394 	 -153.02 	 6 	 1470.89 	 0.211274 	 67.6311 	 15.6442 	 34.1882 	 15.5199 	 158 	 38 	 98.5 	 44.9255 	  Tumour 
19 	 887.743 	 419.565 	 602.904 	 753.585 	 10971 	 139.194 	 102.059 	 0.679999 	 0.969855 	 423.931 	 1168.08 	 369.313 	 0.316171 	 838.053 	 1051.08 	 245 	 3376 	 1909.53 	 1430.67 	 6 	 3954.85 	 0.360482 	 82.7573 	 13.4164 	 44.6654 	 21.1115 	 45 	 20 	 40.8333 	 10.2062 	 472 	 1871 	 506.475 	 72.0603 	 5 	 5477.49 	 0.49927 	 61.2844 	 13.8312 	 36.2045 	 14.5005 	 169 	 45 	 94.4 	 61.1621 	  Tumour 
20 	 903.817 	 330.375 	 630.121 	 733.71 	 10355 	 151.175 	 89.478 	 0.806023 	 0.950523 	 418.09 	 885.113 	 203.654 	 0.230089 	 535.238 	 768.115 	 135 	 2126 	 1910.94 	 1432.08 	 3 	 1616.83 	 0.15614 	 99.4636 	 41.2311 	 70.7985 	 26.0517 	 45 	 45 	 45 	 0 	 474 	 2309 	 387.017 	 -47.3974 	 7 	 4340.29 	 0.419149 	 71.503 	 10.1792 	 37.162 	 16.8768 	 104 	 30 	 67.7143 	 30.2253 	  Tumour 
21 	 937.756 	 667.488 	 686.222 	 928.77 	 21609 	 209.816 	 132.259 	 0.776306 	 0.974959 	 594.884 	 972.473 	 306.821 	 0.315506 	 639.663 	 855.475 	 360 	 9642 	 1510.76 	 1031.89 	 8 	 3468.44 	 0.160509 	 175.026 	 25.807 	 77.2768 	 40.6614 	 45 	 45 	 45 	 0 	 1323 	 7943 	 378.599 	 -55.8149 	 6 	 8045.69 	 0.37233 	 167.904 	 23.8072 	 76.7019 	 42.1244 	 906 	 29 	 220.5 	 345.928 	  Tumour 
22 	 917.213 	 253.072 	 661.937 	 724.798 	 5989 	 117.024 	 65.696 	 0.827552 	 0.971925 	 317.664 	 1050.52 	 311.355 	 0.296382 	 649.496 	 933.521 	 135 	 522 	 1830.43 	 1351.56 	 3 	 1412.8 	 0.235899 	 36.0555 	 19.0263 	 25.6788 	 8.14377 	 45 	 45 	 45 	 0 	 486 	 1244 	 410.387 	 -24.0275 	 4 	 1008.84 	 0.16845 	 62.2188 	 15.3855 	 36.0535 	 16.6526 	 187 	 53 	 121.5 	 55.2238 	  Tumour 
23 	 948.331 	 147.794 	 728.882 	 739.358 	 7433 	 132.085 	 75.4255 	 0.820923 	 0.912584 	 369.019 	 1364.31 	 474.527 	 0.347814 	 763.263 	 1247.31 	 45 	 45 	 2686.22 	 2207.36 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 423 	 2329 	 513.487 	 79.0727 	 4 	 1526.65 	 0.205388 	 67.9091 	 20.548 	 45.5429 	 15.8626 	 222 	 30 	 105.75 	 82.7703 	  Tumour 
24 	 956.824 	 482.822 	 671.67 	 843.654 	 5269 	 109.043 	 66.3575 	 0.793522 	 0.876997 	 334.576 	 1046.41 	 383.734 	 0.366715 	 690.634 	 929.411 	 213 	 2687 	 1927.51 	 1448.65 	 5 	 417.989 	 0.0793298 	 80.512 	 27.5136 	 47.5465 	 17.1765 	 45 	 33 	 42.6 	 5.36656 	 831 	 2077 	 520.939 	 86.5243 	 2 	 747.517 	 0.141871 	 48.6427 	 21.9468 	 33.6763 	 12.1992 	 369 	 130 	 277 	 128.643 	  Tumour 
25 	 976.479 	 39.1932 	 804.671 	 766.632 	 8469 	 123.907 	 89.7042 	 0.689836 	 0.98431 	 360.392 	 1600.09 	 654.712 	 0.409171 	 1151.46 	 1483.1 	 135 	 2308 	 2066.68 	 1587.82 	 3 	 1724.47 	 0.203622 	 61.8466 	 58.6003 	 60.0961 	 1.46511 	 45 	 45 	 45 	 0 	 783 	 2731 	 658.286 	 223.872 	 3 	 940.258 	 0.111024 	 49.106 	 36.3958 	 44.427 	 6.24922 	 365 	 195 	 261 	 91.1482 	  Tumour 
