rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
21 	 592.708 	 56.0121 	 728.095 	 195.133 	 3808 	 77.8884 	 63.4665 	 0.579688 	 0.986018 	 233.48 	 1538.47 	 386.793 	 0.251414 	 1104.43 	 1473.84 	 728.133 	 49.1662 	 115.17 	 0.133473 	 862.874 	 4997 	 0.962813 	 306.024 	 325.798 	 259.908 	 191.186 	 0 	 0 	 0 	 68.1881 	 0.262355 	 90 	 98 	 280.2 	 130.92 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 90 	 90 	 90 	 0 	 161 	 393 	 224.851 	 77.4122 	 2 	 140.497 	 0.0368953 	 29.2138 	 29.2138 	 29.2138 	 0 	 86 	 75 	 80.5 	 7.77817 	  Tumour 
22 	 606.821 	 442.628 	 582.603 	 184.068 	 1554 	 72.6096 	 27.9036 	 0.92321 	 0.967019 	 173.681 	 1210.76 	 266.504 	 0.220113 	 755.678 	 1146.12 	 232.437 	 38.0318 	 51.2453 	 0.139566 	 367.178 	 2817 	 0.924213 	 245.74 	 137.352 	 132.913 	 64.1915 	 0.191304 	 193.5 	 126.888 	 49.5899 	 0.373101 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 29 	 117 	 146.448 	 -0.990481 	 2 	 671.061 	 0.431828 	 22.1133 	 22.1133 	 22.1133 	 0 	 15 	 14 	 14.5 	 0.707107 	  Fib 
23 	 671.476 	 473.076 	 634.818 	 249.257 	 3332 	 98.129 	 43.6654 	 0.895541 	 0.963284 	 248.451 	 576.951 	 261.148 	 0.452634 	 368.9 	 512.316 	 525.036 	 48.7151 	 147.722 	 0.223897 	 659.776 	 4824 	 0.955248 	 309.539 	 184.128 	 175.052 	 106.331 	 0.152778 	 189.682 	 175.184 	 35.5755 	 0.203228 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
24 	 678.868 	 768.652 	 634.667 	 196.726 	 2188 	 99.1145 	 28.6745 	 0.957236 	 0.947186 	 227.823 	 770.048 	 372.258 	 0.483422 	 435.899 	 705.413 	 119.58 	 -13.9148 	 83.5036 	 0.32834 	 254.321 	 3803 	 0.917934 	 298.811 	 119.458 	 137.544 	 68.823 	 0.142349 	 240.475 	 126.787 	 81.8225 	 0.59488 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
25 	 688.692 	 830.277 	 659.564 	 229.225 	 1350 	 52.5181 	 32.9964 	 0.777982 	 0.973324 	 142.468 	 1407.78 	 325.85 	 0.231464 	 832.885 	 1343.14 	 379.034 	 -49.9074 	 48.3543 	 0.0941158 	 513.774 	 2140 	 0.963096 	 187.598 	 271.798 	 292.33 	 223.608 	 0.232955 	 253.683 	 298.785 	 146.371 	 0.500704 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 102 	 161 	 227.735 	 80.2965 	 2 	 53.3997 	 0.0395554 	 13.6324 	 13.6324 	 13.6324 	 0 	 97 	 5 	 51 	 65.0538 	  Lymph 
26 	 732.585 	 320.9 	 745.731 	 297.849 	 2108 	 71.5978 	 37.9616 	 0.847869 	 0.981378 	 186.368 	 973.657 	 449.363 	 0.46152 	 645 	 909.022 	 468.02 	 -28.957 	 53.992 	 0.0895746 	 602.76 	 3508 	 0.97067 	 243.598 	 188.962 	 166.091 	 97.369 	 0 	 0 	 0 	 18.2077 	 0.109625 	 45 	 45 	 246.844 	 97.564 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
27 	 779.898 	 180.741 	 854.478 	 192.855 	 1798 	 59.2482 	 39.3536 	 0.74754 	 0.959445 	 167.054 	 1123.3 	 361.056 	 0.321425 	 726.87 	 1058.66 	 388.033 	 8.85181 	 40.9339 	 0.0783013 	 522.774 	 2611 	 0.957814 	 210.426 	 298.457 	 277.273 	 208.551 	 0 	 0 	 0 	 102.965 	 0.371349 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
28 	 787.145 	 34.8291 	 946.071 	 156.707 	 1907 	 70.1437 	 34.7224 	 0.868883 	 0.969497 	 179.095 	 479.943 	 175.791 	 0.366276 	 341.078 	 415.308 	 410.939 	 -22.3326 	 74.3227 	 0.136202 	 545.68 	 3289 	 0.919229 	 262.711 	 354.078 	 374.938 	 306.216 	 0 	 0 	 0 	 280.799 	 0.74892 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
29 	 800.219 	 637.152 	 742.001 	 321.375 	 1700 	 65.0144 	 35.4175 	 0.83859 	 0.930487 	 178.125 	 940.231 	 392.009 	 0.416929 	 598.95 	 875.596 	 303.465 	 -34.1192 	 46.9484 	 0.107138 	 438.205 	 3052 	 0.919831 	 237.255 	 158.128 	 158.696 	 89.9749 	 0.151786 	 211.382 	 154.85 	 32.9011 	 0.207321 	 45 	 45 	 208.533 	 59.2529 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 72 	 73 	 166.889 	 19.4501 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 72 	 72 	 72 	 0 	  Lymph 
30 	 835.828 	 305.659 	 845.877 	 213.654 	 3941 	 103.715 	 50.2651 	 0.874709 	 0.955394 	 266.551 	 1059.94 	 517.05 	 0.487812 	 784.704 	 995.301 	 617.431 	 70.3124 	 80.6568 	 0.107232 	 752.172 	 5595 	 0.939389 	 329.054 	 229.997 	 175.123 	 106.401 	 0 	 0 	 0 	 18.4385 	 0.105289 	 90 	 222 	 248.544 	 99.264 	 2 	 766.706 	 0.194546 	 21.9545 	 21.9545 	 21.9545 	 0 	 45 	 45 	 45 	 0 	 76 	 77 	 166.066 	 18.627 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 76 	 76 	 76 	 0 	  Lymph 
