rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
21 	 1243.53 	 622.091 	 203.002 	 250.14 	 5937 	 97.8262 	 79.6165 	 0.581065 	 0.973598 	 306.877 	 759.29 	 272.18 	 0.358467 	 543.872 	 643.091 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
22 	 1310.85 	 381.262 	 1158 	 250.14 	 9836 	 116.544 	 107.866 	 0.378653 	 0.980658 	 390.517 	 1134.24 	 483.539 	 0.426313 	 820.84 	 1018.04 	 90 	 245 	 1386.82 	 985.475 	 2 	 505.4 	 0.0513827 	 28.0179 	 28.0179 	 28.0179 	 0 	 45 	 45 	 45 	 0 	 497 	 2772 	 421.648 	 105.313 	 8 	 2539.56 	 0.258191 	 61.3131 	 8.11783 	 37.7739 	 14.8478 	 146 	 24 	 62.125 	 43.0728 	  Tumour 
23 	 1362.14 	 292.805 	 1245.08 	 349.521 	 3867 	 81.2994 	 63.3303 	 0.627052 	 0.96458 	 252.551 	 746.152 	 233.776 	 0.313309 	 464.884 	 629.953 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
24 	 1520.67 	 743.996 	 1248.9 	 302.676 	 7304 	 125.217 	 74.9244 	 0.801231 	 0.973088 	 346.777 	 596.406 	 155.573 	 0.260851 	 365.283 	 480.208 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 329 	 415 	 381.957 	 65.6226 	 2 	 2860.42 	 0.391624 	 15.8751 	 15.8751 	 15.8751 	 0 	 295 	 34 	 164.5 	 184.555 	  Tumour 
25 	 1541.12 	 403.103 	 1357.65 	 369.012 	 6827 	 113.474 	 77.7009 	 0.728784 	 0.97766 	 323.463 	 916.206 	 269.274 	 0.293901 	 561.64 	 800.008 	 90 	 94 	 1373.7 	 972.353 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 90 	 90 	 90 	 0 	 325 	 577 	 396.618 	 80.2836 	 3 	 4413.97 	 0.646546 	 22.7798 	 13.6053 	 18.819 	 4.21619 	 244 	 36 	 108.333 	 117.577 	  Tumour 
26 	 1545.33 	 310.355 	 1399.06 	 433.526 	 6216 	 97.2498 	 81.7037 	 0.542365 	 0.973532 	 315.605 	 1133.23 	 533.717 	 0.47097 	 801.402 	 1017.03 	 90 	 511 	 1929.04 	 1527.7 	 2 	 265.189 	 0.0426623 	 57.8014 	 57.8014 	 57.8014 	 0 	 45 	 45 	 45 	 0 	 413 	 950 	 565.62 	 249.285 	 2 	 1728.42 	 0.27806 	 38.5626 	 38.5626 	 38.5626 	 0 	 335 	 78 	 206.5 	 181.726 	  Tumour 
27 	 1559.24 	 502.8 	 1340.22 	 336.728 	 6244 	 115.78 	 69.79 	 0.797907 	 0.955617 	 320.291 	 717.129 	 194.881 	 0.271751 	 450.89 	 600.931 	 84 	 369 	 2148.94 	 1747.59 	 2 	 1952.05 	 0.312627 	 46.7193 	 46.7193 	 46.7193 	 0 	 45 	 39 	 42 	 4.24264 	 528 	 1663 	 416.653 	 100.319 	 3 	 2565.73 	 0.410911 	 50.5431 	 27.4316 	 38.7894 	 10.3404 	 235 	 64 	 176 	 97.0412 	  Tumour 
28 	 1568.44 	 183.307 	 1478.49 	 545.616 	 8198 	 135.85 	 77.4687 	 0.821469 	 0.933819 	 395.546 	 905.239 	 273.765 	 0.302423 	 512.242 	 789.041 	 135 	 1794 	 2189.69 	 1788.34 	 3 	 926.166 	 0.112975 	 71.1126 	 41.7612 	 55.2156 	 13.262 	 45 	 45 	 45 	 0 	 604 	 1942 	 414.346 	 98.0112 	 3 	 2146.36 	 0.261815 	 46.9708 	 25.5387 	 39.1446 	 10.5787 	 357 	 60 	 201.333 	 149.018 	  Tumour 
29 	 1602.35 	 82.3601 	 1559.71 	 647.892 	 9996 	 138.782 	 92.9264 	 0.742733 	 0.951185 	 414.032 	 1180.76 	 438.995 	 0.371791 	 776.981 	 1064.56 	 180 	 1494 	 1585.33 	 1183.98 	 4 	 2367.01 	 0.236796 	 68.4763 	 9.48683 	 41.1823 	 23.038 	 45 	 45 	 45 	 0 	 620 	 2320 	 429.76 	 113.425 	 6 	 2405.81 	 0.240677 	 70.2337 	 14.1212 	 41.4712 	 20.994 	 239 	 36 	 103.333 	 92.0449 	  Tumour 
30 	 1687.34 	 806.547 	 1407.23 	 322.591 	 4948 	 93.9031 	 67.4046 	 0.696239 	 0.979027 	 279.321 	 895.341 	 317.545 	 0.354664 	 638.143 	 779.143 	 90 	 345 	 1295.77 	 894.419 	 2 	 1010.54 	 0.204232 	 37.9473 	 37.9473 	 37.9473 	 0 	 45 	 45 	 45 	 0 	 268 	 310 	 529.097 	 212.762 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 268 	 268 	 268 	 0 	  Tumour 
31 	 1698.95 	 187.048 	 1591.75 	 598.178 	 7634 	 127.655 	 76.5419 	 0.800301 	 0.973849 	 356.233 	 1045.65 	 356.653 	 0.341084 	 698.356 	 929.449 	 135 	 2292 	 1498.27 	 1096.92 	 3 	 488.784 	 0.0640272 	 97.9439 	 43.9659 	 70.8735 	 24.14 	 45 	 45 	 45 	 0 	 344 	 1453 	 330.86 	 14.5256 	 3 	 943.195 	 0.123552 	 72.5469 	 24.6552 	 50.3277 	 21.5842 	 151 	 53 	 114.667 	 53.6874 	  Tumour 
32 	 1735.26 	 569.199 	 1491.91 	 461.767 	 11482 	 141.402 	 103.769 	 0.6793 	 0.979693 	 418.718 	 856.798 	 213.322 	 0.248976 	 537.668 	 740.6 	 135 	 826 	 1445.62 	 1044.28 	 3 	 2239.58 	 0.195052 	 91.6079 	 25.2389 	 61.0823 	 29.9656 	 45 	 45 	 45 	 0 	 642 	 1642 	 370.604 	 54.2695 	 4 	 1687.29 	 0.146951 	 64.0196 	 14.6061 	 35.9209 	 18.5504 	 276 	 52 	 160.5 	 113.893 	  Tumour 
33 	 1746.51 	 301.401 	 1587.01 	 546.06 	 8774 	 125.252 	 90.889 	 0.688066 	 0.969074 	 401.831 	 1160.56 	 455.272 	 0.392287 	 796.282 	 1044.36 	 135 	 967 	 1914.3 	 1512.95 	 3 	 509.746 	 0.0580973 	 78.2304 	 33.8378 	 52.7797 	 20.4831 	 45 	 45 	 45 	 0 	 598 	 1965 	 411.184 	 94.8491 	 4 	 2908.44 	 0.331484 	 50.5833 	 11.1545 	 32.1192 	 13.8006 	 238 	 32 	 119.6 	 106.678 	  Tumour 
34 	 1745.36 	 410.17 	 1546.14 	 544.008 	 6484 	 99.0768 	 83.6901 	 0.535242 	 0.977831 	 318.434 	 1206.65 	 490.601 	 0.406582 	 871.195 	 1090.45 	 90 	 266 	 1242.76 	 841.408 	 2 	 1412.37 	 0.217824 	 31.0161 	 31.0161 	 31.0161 	 0 	 45 	 45 	 45 	 0 	 309 	 538 	 435.162 	 118.827 	 2 	 1142.32 	 0.176175 	 27.0139 	 27.0139 	 27.0139 	 0 	 179 	 130 	 154.5 	 34.6482 	  Tumour 
35 	 1800.88 	 823.848 	 1519.79 	 267.72 	 8577 	 142.625 	 76.8069 	 0.84261 	 0.982699 	 382.233 	 858.708 	 291.074 	 0.338967 	 602.158 	 742.509 	 90 	 465 	 1761.27 	 1359.92 	 2 	 890.538 	 0.103829 	 52.1536 	 52.1536 	 52.1536 	 0 	 45 	 45 	 45 	 0 	 676 	 2129 	 377.917 	 61.5823 	 5 	 910.451 	 0.10615 	 50.1825 	 11.2917 	 30.4694 	 12.4158 	 263 	 64 	 135.2 	 83.6791 	  Tumour 
36 	 2051.4 	 688.858 	 1781.52 	 210.117 	 12072 	 179.093 	 89.2668 	 0.866924 	 0.921808 	 493.872 	 748.54 	 216.661 	 0.289445 	 509.299 	 632.342 	 135 	 1135 	 1242.93 	 841.579 	 3 	 2707.24 	 0.224257 	 83.2586 	 27.0185 	 56.4511 	 25.2334 	 45 	 45 	 45 	 0 	 411 	 1540 	 347.815 	 31.4803 	 3 	 3847 	 0.318671 	 70.2496 	 17.7552 	 49.7846 	 25.1272 	 232 	 42 	 137 	 95 	  Tumour 
37 	 2058.47 	 899.235 	 1062.42 	 210.117 	 5706 	 137.904 	 60.2895 	 0.899372 	 0.850753 	 359.505 	 720.362 	 222.959 	 0.309509 	 503.131 	 604.164 	 90 	 435 	 524.144 	 122.797 	 2 	 798.534 	 0.139946 	 50.9902 	 50.9902 	 50.9902 	 0 	 45 	 45 	 45 	 0 	 181 	 1230 	 248.613 	 -67.7216 	 3 	 972.527 	 0.170439 	 57.7476 	 28.1333 	 42.9532 	 13.2439 	 77 	 50 	 60.3333 	 14.5717 	  DCIS 
38 	 2295.39 	 136.057 	 1303.19 	 572.301 	 5200 	 113.051 	 60.8452 	 0.842811 	 0.905766 	 323.706 	 1122.1 	 479.056 	 0.426927 	 839.806 	 1005.9 	 45 	 45 	 1664.53 	 1263.19 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 45 	 45 	 255.133 	 -61.2015 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  DCIS 
39 	 2276.12 	 985.658 	 1297 	 340.125 	 5196 	 97.6889 	 68.3954 	 0.714011 	 0.952172 	 312.919 	 800.331 	 291.306 	 0.363982 	 548.649 	 684.133 	 90 	 232 	 555.444 	 154.097 	 2 	 191.638 	 0.0368818 	 25.1794 	 25.1794 	 25.1794 	 0 	 45 	 45 	 45 	 0 	 79 	 184 	 279.228 	 -37.107 	 2 	 1101.8 	 0.212049 	 19.0311 	 19.0311 	 19.0311 	 0 	 46 	 33 	 39.5 	 9.19239 	  DCIS 
40 	 2292.34 	 267.268 	 1265.46 	 485.968 	 4401 	 107.384 	 52.5951 	 0.871842 	 0.968317 	 281.019 	 793.315 	 233.07 	 0.293792 	 568.81 	 677.117 	 45 	 45 	 1093.49 	 692.142 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 90 	 290 	 235.356 	 -80.9793 	 2 	 222.689 	 0.0505997 	 30.4138 	 30.4138 	 30.4138 	 0 	 45 	 45 	 45 	 0 	  DCIS 
41 	 2336.88 	 711.599 	 1291.11 	 286.923 	 5049 	 110.61 	 61.1581 	 0.833238 	 0.956069 	 298.392 	 816.511 	 360.896 	 0.441998 	 599.491 	 700.313 	 88 	 355 	 1113.82 	 712.471 	 2 	 1227.79 	 0.243174 	 39.4736 	 39.4736 	 39.4736 	 0 	 45 	 43 	 44 	 1.41421 	 138 	 405 	 292.326 	 -24.0087 	 2 	 687.382 	 0.136142 	 33.1414 	 33.1414 	 33.1414 	 0 	 69 	 69 	 69 	 0 	  DCIS 
42 	 2375.22 	 113.886 	 1386.06 	 655.25 	 3500 	 102.489 	 44.1694 	 0.902368 	 0.946202 	 271.037 	 2176.73 	 692.019 	 0.317917 	 1552.67 	 2060.53 	 90 	 215 	 1658.41 	 1257.06 	 2 	 658.157 	 0.188045 	 22.3607 	 22.3607 	 22.3607 	 0 	 45 	 45 	 45 	 0 	 90 	 163 	 448.133 	 131.799 	 2 	 163.248 	 0.0466424 	 14.8661 	 14.8661 	 14.8661 	 0 	 45 	 45 	 45 	 0 	  DCIS 
